# PYTHON_UOPS_OPTIMIZE=0
# executor at bytecode offset 70, 78 uops
  0  _START_EXECUTOR                    oparg=0      target=35   operand=0x609f99d64a60
  1  _MAKE_WARM                         oparg=0      target=0    operand=0x0
  2  _CHECK_VALIDITY                    oparg=0      target=54   operand=0x0
  3  _SET_IP                            oparg=0      target=35   operand=0x70f55d5108c6
  4  _CHECK_PERIODIC                    oparg=0      target=3604480 operand=0x0
  5  _CHECK_VALIDITY                    oparg=0      target=56   operand=0x0
  6  _SET_IP                            oparg=0      target=5    operand=0x70f55d51088a
  7  _LOAD_FAST_BORROW_3                oparg=3      target=5    operand=0x0
  8  _LOAD_FAST_BORROW_1                oparg=1      target=5    operand=0x0
  9  _CHECK_VALIDITY                    oparg=0      target=57   operand=0x0
 10  _SET_IP                            oparg=0      target=6    operand=0x70f55d51088c
 11  _GUARD_TOS_INT                     oparg=18     target=58   operand=0x0
 12  _GUARD_NOS_INT                     oparg=18     target=58   operand=0x0
 13  _COMPARE_OP_INT                    oparg=18     target=59   operand=0x0
 14  _CHECK_VALIDITY                    oparg=0      target=60   operand=0x0
 15  _SET_IP                            oparg=0      target=8    operand=0x70f55d510890
 16  _GUARD_IS_TRUE_POP                 oparg=0      target=61   operand=0x0
 17  _CHECK_VALIDITY                    oparg=0      target=62   operand=0x0
 18  _SET_IP                            oparg=0      target=10   operand=0x70f55d510894
 19  _CHECK_VALIDITY                    oparg=0      target=63   operand=0x0
 20  _SET_IP                            oparg=0      target=11   operand=0x70f55d510896
 21  _LOAD_FAST_BORROW_2                oparg=2      target=11   operand=0x0
 22  _LOAD_FAST_BORROW_0                oparg=0      target=11   operand=0x0
 23  _CHECK_VALIDITY                    oparg=0      target=64   operand=0x0
 24  _SET_IP                            oparg=0      target=12   operand=0x70f55d510898
 25  _LOAD_FAST_BORROW_3                oparg=3      target=12   operand=0x0
 26  _CHECK_VALIDITY                    oparg=0      target=65   operand=0x0
 27  _SET_IP                            oparg=0      target=13   operand=0x70f55d51089a
 28  _GUARD_TOS_INT                     oparg=5      target=66   operand=0x0
 29  _GUARD_NOS_INT                     oparg=5      target=66   operand=0x0
 30  _BINARY_OP_MULTIPLY_INT            oparg=5      target=4390912 operand=0x0
 31  _CHECK_VALIDITY                    oparg=0      target=68   operand=0x0
 32  _SET_IP                            oparg=0      target=19   operand=0x70f55d5108a6
 33  _GUARD_TOS_INT                     oparg=0      target=69   operand=0x0
 34  _GUARD_NOS_INT                     oparg=0      target=69   operand=0x0
 35  _BINARY_OP_ADD_INT                 oparg=0      target=4587520 operand=0x0
 36  _CHECK_VALIDITY                    oparg=0      target=71   operand=0x0
 37  _SET_IP                            oparg=0      target=25   operand=0x70f55d5108b2
 38  _STORE_FAST_2                      oparg=2      target=25   operand=0x0
 39  _CHECK_VALIDITY                    oparg=0      target=72   operand=0x0
 40  _SET_IP                            oparg=0      target=26   operand=0x70f55d5108b4
 41  _LOAD_FAST_BORROW_3                oparg=3      target=26   operand=0x0
 42  _CHECK_VALIDITY                    oparg=0      target=73   operand=0x0
 43  _SET_IP                            oparg=0      target=27   operand=0x70f55d5108b6
 44  _LOAD_SMALL_INT_1                  oparg=1      target=27   operand=0x0
 45  _CHECK_VALIDITY                    oparg=0      target=74   operand=0x0
 46  _SET_IP                            oparg=0      target=28   operand=0x70f55d5108b8
 47  _GUARD_TOS_INT                     oparg=0      target=75   operand=0x0
 48  _GUARD_NOS_INT                     oparg=0      target=75   operand=0x0
 49  _BINARY_OP_ADD_INT                 oparg=0      target=4980736 operand=0x0
 50  _CHECK_VALIDITY                    oparg=0      target=77   operand=0x0
 51  _SET_IP                            oparg=0      target=34   operand=0x70f55d5108c4
 52  _STORE_FAST_3                      oparg=3      target=34   operand=0x0
 53  _JUMP_TO_TOP                       oparg=0      target=1    operand=0x0
 54  _DEOPT                             oparg=0      target=35   operand=0x0
 55  _ERROR_POP_N                       oparg=0      target=0    operand=0x23
 56  _DEOPT                             oparg=0      target=5    operand=0x0
 57  _DEOPT                             oparg=0      target=6    operand=0x0
 58  _EXIT_TRACE                        oparg=0      target=6    operand=0x609f99d64ae0
 59  _DEOPT                             oparg=0      target=6    operand=0x0
 60  _DEOPT                             oparg=0      target=8    operand=0x0
 61  _EXIT_TRACE                        oparg=0      target=37   operand=0x609f99d64af0
 62  _DEOPT                             oparg=0      target=10   operand=0x0
 63  _DEOPT                             oparg=0      target=11   operand=0x0
 64  _DEOPT                             oparg=0      target=12   operand=0x0
 65  _DEOPT                             oparg=0      target=13   operand=0x0
 66  _EXIT_TRACE                        oparg=0      target=13   operand=0x609f99d64b00
 67  _ERROR_POP_N                       oparg=0      target=0    operand=0xd
 68  _DEOPT                             oparg=0      target=19   operand=0x0
 69  _EXIT_TRACE                        oparg=0      target=19   operand=0x609f99d64b10
 70  _ERROR_POP_N                       oparg=0      target=0    operand=0x13
 71  _DEOPT                             oparg=0      target=25   operand=0x0
 72  _DEOPT                             oparg=0      target=26   operand=0x0
 73  _DEOPT                             oparg=0      target=27   operand=0x0
 74  _DEOPT                             oparg=0      target=28   operand=0x0
 75  _EXIT_TRACE                        oparg=0      target=28   operand=0x609f99d64b20
 76  _ERROR_POP_N                       oparg=0      target=0    operand=0x1c
 77  _DEOPT                             oparg=0      target=34   operand=0x0
