# PYTHON_UOPS_OPTIMIZE=(unset)
# executor at bytecode offset 70, 47 uops
  0  _START_EXECUTOR                    oparg=0      target=35   operand=0x5d42d0d4bd00
  1  _MAKE_WARM                         oparg=0      target=0    operand=0x0
  2  _SET_IP                            oparg=0      target=35   operand=0x79e7c9ab08c6
  3  _CHECK_PERIODIC                    oparg=0      target=2162688 operand=0x0
  4  _CHECK_VALIDITY                    oparg=0      target=34   operand=0x0
  5  _LOAD_FAST_BORROW_3                oparg=3      target=5    operand=0x0
  6  _LOAD_FAST_BORROW_1                oparg=1      target=5    operand=0x0
  7  _GUARD_TOS_INT                     oparg=18     target=35   operand=0x0
  8  _GUARD_NOS_INT                     oparg=18     target=35   operand=0x0
  9  _COMPARE_OP_INT                    oparg=18     target=36   operand=0x0
 10  _GUARD_IS_TRUE_POP                 oparg=0      target=37   operand=0x0
 11  _LOAD_FAST_BORROW_2                oparg=2      target=11   operand=0x0
 12  _LOAD_FAST_BORROW_0                oparg=0      target=11   operand=0x0
 13  _LOAD_FAST_BORROW_3                oparg=3      target=12   operand=0x0
 14  _SET_IP                            oparg=0      target=13   operand=0x79e7c9ab089a
 15  _GUARD_NOS_INT                     oparg=5      target=38   operand=0x0
 16  _BINARY_OP_MULTIPLY_INT            oparg=5      target=2555904 operand=0x0
 17  _CHECK_VALIDITY                    oparg=0      target=40   operand=0x0
 18  _SET_IP                            oparg=0      target=19   operand=0x79e7c9ab08a6
 19  _GUARD_NOS_INT                     oparg=0      target=41   operand=0x0
 20  _BINARY_OP_ADD_INT                 oparg=0      target=2752512 operand=0x0
 21  _CHECK_VALIDITY                    oparg=0      target=43   operand=0x0
 22  _SET_IP                            oparg=0      target=25   operand=0x79e7c9ab08b2
 23  _STORE_FAST_2                      oparg=2      target=25   operand=0x0
 24  _CHECK_VALIDITY                    oparg=0      target=44   operand=0x0
 25  _LOAD_FAST_BORROW_3                oparg=3      target=26   operand=0x0
 26  _LOAD_SMALL_INT_1                  oparg=1      target=27   operand=0x0
 27  _SET_IP                            oparg=0      target=28   operand=0x79e7c9ab08b8
 28  _BINARY_OP_ADD_INT                 oparg=0      target=2949120 operand=0x0
 29  _CHECK_VALIDITY                    oparg=0      target=46   operand=0x0
 30  _SET_IP                            oparg=0      target=34   operand=0x79e7c9ab08c4
 31  _STORE_FAST_3                      oparg=3      target=34   operand=0x0
 32  _JUMP_TO_TOP                       oparg=0      target=1    operand=0x0
 33  _ERROR_POP_N                       oparg=0      target=0    operand=0x23
 34  _DEOPT                             oparg=0      target=5    operand=0x0
 35  _EXIT_TRACE                        oparg=0      target=6    operand=0x5d42d0d4bd80
 36  _DEOPT                             oparg=0      target=6    operand=0x0
 37  _EXIT_TRACE                        oparg=0      target=37   operand=0x5d42d0d4bd90
 38  _EXIT_TRACE                        oparg=0      target=13   operand=0x5d42d0d4bda0
 39  _ERROR_POP_N                       oparg=0      target=0    operand=0xd
 40  _DEOPT                             oparg=0      target=19   operand=0x0
 41  _EXIT_TRACE                        oparg=0      target=19   operand=0x5d42d0d4bdb0
 42  _ERROR_POP_N                       oparg=0      target=0    operand=0x13
 43  _DEOPT                             oparg=0      target=25   operand=0x0
 44  _DEOPT                             oparg=0      target=26   operand=0x0
 45  _ERROR_POP_N                       oparg=0      target=0    operand=0x1c
 46  _DEOPT                             oparg=0      target=34   operand=0x0
